gene,log2FoldChange,p_value,adj_p_value,significant
ENSG00000054219.11,-0.3246770003664332,4.005289524492254e-10,8.716560573039273e-10,False
ENSG00000054267.22,0.06725355487256168,0.00029938872030244235,0.00044164427279746896,False
ENSG00000054277.14,0.14944087622691438,6.40121121914764e-08,1.2173011571228047e-07,False
ENSG00000054282.16,0.026267887945555124,0.026563703710224134,0.03308301556345386,False
ENSG00000054392.13,0.16574237830146532,8.320621906585946e-07,1.4713597604207928e-06,False
ENSG00000054523.18,-0.17323524130779422,3.0343432636037565e-22,1.2641700255144548e-21,False
ENSG00000054598.9,-0.4937011740309698,2.993296661066215e-56,6.0426721160258846e-55,False
ENSG00000054611.14,-0.034036666667719206,0.00041069804973775317,0.0005987106595228214,False
ENSG00000054654.19,-0.2528376672095036,3.656141128668525e-30,2.260432410176062e-29,False
ENSG00000054690.14,-0.09094712252171,0.02371783905315047,0.02970144300414904,False
ENSG00000054793.14,-0.10557399309735782,5.719315830257845e-14,1.5444479558551455e-13,False
ENSG00000054965.11,-0.054471999097340795,2.196029564017212e-06,3.7688400646707636e-06,False
ENSG00000054967.13,0.5131515282985284,1.7146440265275807e-37,1.4681528883487447e-36,True
ENSG00000054983.17,-0.06041716713311995,1.3044278088052795e-05,2.119631321907051e-05,False
ENSG00000055044.11,0.10995008935913342,4.014246278022681e-11,9.232488251906912e-11,False
ENSG00000055118.16,0.2965433149323734,3.0868337870424406e-13,8.028670824793458e-13,False
ENSG00000055130.17,-0.0016351582916347418,0.796695254318035,0.8164244457576405,False
ENSG00000055147.19,-0.02338735816658888,0.025194686632936125,0.03146538947745481,False
ENSG00000055163.20,0.2730091034269968,1.1867158953837179e-16,3.6870180805087836e-16,False
ENSG00000055208.19,-0.07940633101400696,2.1861198018885513e-14,6.020991202081099e-14,False
ENSG00000055211.14,-0.10385418264923274,1.1986978569841697e-45,1.4899769467262406e-44,False
ENSG00000055332.18,0.042065642293577454,0.009982544272328716,0.012948514004144667,False
ENSG00000055483.19,0.029084786834699727,0.03414903094386659,0.04203152495790849,False
ENSG00000055609.19,-0.10551101156440179,1.063187773809726e-08,2.126119296047071e-08,False
ENSG00000055732.13,-0.41042610226332576,9.483678107669002e-35,7.212289391322613e-34,False
ENSG00000055917.16,-0.0037704571118846175,0.7305504886441961,0.7545126537973356,False
ENSG00000055950.16,0.038273969652651285,3.2671885175232266e-06,5.541263926796854e-06,False
ENSG00000056050.7,-0.021838533092389145,0.0029432321949605547,0.00400590510524733,False
ENSG00000056097.16,-0.03639280941206158,0.000657788449606333,0.0009430915442169941,False
ENSG00000056277.16,0.025625780447141366,0.2817318637062518,0.3120658531701183,False
ENSG00000056558.11,0.06344116498386221,0.009897578073177617,0.012845331655428546,False
ENSG00000056586.16,-0.053883304073904625,0.00011988619624333344,0.00018216203099183912,False
ENSG00000056736.10,0.10866194490030656,0.015103314785075348,0.019232937268324788,False
ENSG00000056972.20,-0.08141685925028064,5.340861858762077e-07,9.543045298190795e-07,False
ENSG00000056998.20,-0.7827646140400972,4.898328006466578e-39,4.463638382169489e-38,True
ENSG00000057019.16,-0.24544266617941535,1.1980285745852791e-47,1.617495777250434e-46,False
ENSG00000057252.13,0.05402745432099332,0.0004821626826611622,0.0006987169291834186,False
