gene,log2FoldChange,p_value,adj_p_value,significant,neg_log10_p
ENSG00000135604.10,-0.5705660516762787,1.5189418417167418e-30,9.587417619417122e-30,True,29.018298354733837
ENSG00000135773.13,0.6067844986825419,3.725828938893516e-24,1.714067241807569e-23,True,22.76597214497223
ENSG00000135917.16,-1.5280278651493533,1.1401101709692191e-52,1.9463979606032123e-51,True,50.710768359122056
ENSG00000136002.20,-0.6481063105629363,1.10919576638257e-83,6.893630916611374e-82,True,81.16155197233073
ENSG00000136114.17,-0.500981728787798,1.4914013209540614e-93,1.3094345777731056e-91,True,90.88291619500271
ENSG00000136158.12,-0.7070333901949799,2.5113700262755275e-256,4.16736742160161e-252,True,251.38013820769257
ENSG00000136160.17,-0.7302225602373762,1.6590817708277512e-116,3.0589781005684116e-114,True,113.51442363214782
ENSG00000136244.12,-0.9450211013872132,3.4849380629572327e-32,2.3729611086053474e-31,True,30.624709379547728
ENSG00000136274.9,-0.6280559594272737,2.822978703837599e-71,1.0526855867748566e-69,True,68.97770132332407
ENSG00000136492.9,0.6765439644992148,2.468836056857999e-40,2.3957816097954173e-39,True,38.62055277308719
ENSG00000136826.15,-0.5652795981087584,3.070926585612274e-63,8.192758161036991e-62,True,61.08656986472773
ENSG00000136842.14,-1.0758259751451646,9.549907474628912e-105,1.3780101272521057e-102,True,101.86074759070594
ENSG00000136960.13,-0.743260579969458,1.4560446900818936e-101,1.872992681179763e-99,True,98.72746391965063
ENSG00000136999.5,-0.5283015186240037,3.5546736571852983e-51,5.671755256474312e-50,True,49.24628251778549
ENSG00000137033.11,-1.0136010616844622,2.5613220741236263e-211,6.071796928286779e-208,True,207.21668276188188
ENSG00000137070.18,-0.5151301436954907,5.834034019466294e-103,8.000823183390386e-101,True,100.09686532730655
ENSG00000137077.8,-0.910169377057306,5.0763462536686e-74,2.1271941851862817e-72,True,71.67219286284505
ENSG00000137135.18,0.5840581058575587,1.1091039441537407e-49,1.655078313784818e-48,True,47.7811814517735
ENSG00000137142.5,0.5969370197972237,2.0392476363196572e-54,3.8021657614706055e-53,True,52.41996895329837
ENSG00000137225.13,-1.0143163346919994,4.076814936450988e-72,1.591780401305122e-70,True,69.79811684682427
ENSG00000137285.10,-0.7218300842877874,6.828379981043298e-47,8.91503834818509e-46,True,45.049876784359704
ENSG00000137441.8,-1.2292241113049807,1.975891595436546e-51,3.192594462967288e-50,True,49.495856243903695
ENSG00000137558.9,-0.892212123074839,2.9002084058301797e-22,1.2095013391893943e-21,True,20.917393646440388
ENSG00000137672.13,-0.5399126460667545,4.803884974057768e-46,6.094469973969006e-45,True,44.21506405828018
ENSG00000137699.17,-0.7053204078938451,1.504885541424936e-16,4.641738696550498e-16,True,15.333319311497588
ENSG00000137727.12,-1.108627474712629,2.119349146009341e-92,1.7155355965306831e-90,True,89.76560026611467
ENSG00000137745.12,1.7475123022554706,2.711169666132249e-77,1.2817421492820096e-75,True,74.89219933394915
ENSG00000137807.16,0.8129059647937662,2.8785095348273188e-43,3.203620873301444e-42,True,41.4943588853392
ENSG00000137812.20,0.9530743948134007,4.444797142703311e-56,8.90784586787666e-55,True,54.05022730615414
ENSG00000137825.11,0.7653225074439043,1.3091705407807354e-72,5.234789386437475e-71,True,70.28110078679279
ENSG00000137868.19,0.5587605721632505,9.766768768529442e-18,3.2227035383769644e-17,True,16.49177964409016
ENSG00000137872.17,-0.8075551984590925,3.3256751348414403e-81,1.8395417729186288e-79,True,78.73529034561918
ENSG00000137960.6,-1.0719971523221385,4.1633099566873095e-143,1.8180517216123476e-140,True,139.7403937657283
ENSG00000137975.8,-0.8473790475276137,2.5342596394692477e-30,1.583339776255749e-29,True,28.800425877861137
ENSG00000138131.4,-0.8441444734451049,7.551406524749856e-92,5.9387696621658345e-90,True,89.22630351870181
ENSG00000138160.7,0.7135854087426146,1.6910194092181212e-42,1.8162314612663755e-41,True,40.74082880562485
ENSG00000138180.16,1.0552410713981626,1.1017788606502032e-50,1.7280641222712167e-49,True,48.76244014644516
ENSG00000138207.14,-1.3016450236796928,8.381748182086009e-63,2.1834651386740225e-61,True,60.66085373765716
ENSG00000138316.11,1.0673707533841228,8.505541634193559e-56,1.6762584070998565e-54,True,53.77565903097604
ENSG00000138346.15,0.5312371857198124,8.59160511562492e-40,8.105121960698121e-39,True,38.09124044578034
ENSG00000138356.14,-0.852360951384193,2.980910534248061e-67,9.368414660097031e-66,True,65.02833389498453
ENSG00000138639.18,-0.5012827658705328,2.937888463840515e-83,1.7473591816834948e-81,True,80.75761781362635
ENSG00000138640.15,-0.7288493043121844,7.310808147973131e-91,5.51434320033937e-89,True,88.25850620787566
ENSG00000138678.11,-0.5653236236448169,5.660731795982138e-48,7.782450987781906e-47,True,46.108883605730945
ENSG00000138685.17,-1.0883253534606077,1.228076516027407e-117,2.3423795065469876e-115,True,114.63034274024281
ENSG00000138696.11,0.5743286022900214,3.1482670556839526e-15,9.049427251345835e-15,True,14.043378906922026
ENSG00000138722.10,-1.1828321615794415,2.0240356517950047e-57,4.284036684424274e-56,True,55.3681468189385
ENSG00000138738.11,-0.5747864578990898,5.3700416075736535e-71,1.9802326763572713e-69,True,68.70328377735406
ENSG00000138772.13,-0.5702437256179249,4.219829262498602e-93,3.6281785897358445e-91,True,90.44031134382035
ENSG00000138778.13,0.820349040882862,6.11993177549039e-58,1.3240436490545964e-56,True,55.87809769750124
ENSG00000138795.10,0.5943877313826855,6.191643686340595e-24,2.81954268197409e-23,True,22.549821326716515
ENSG00000138829.12,0.6977229634043505,4.256853988581119e-43,4.690453857006314e-42,True,41.32878513211288
ENSG00000139144.11,-1.0772770371504499,3.444371756070241e-29,2.0361918389821724e-28,True,27.691181307530503
ENSG00000139263.12,-0.5036675237567096,5.039243516990177e-96,4.94800040952278e-94,True,93.3055702730984
ENSG00000139547.7,0.5036576541970875,1.8340249357026204e-49,2.6908761965560812e-48,True,47.57010628305728
ENSG00000139572.4,0.5775674565979398,5.060996340563478e-28,2.8439611674673334e-27,True,26.546076337924617
ENSG00000139734.19,0.7032974624448414,3.055805218153661e-46,3.909640076333219e-45,True,44.407863222158426
ENSG00000139737.22,-0.6624286587955761,1.6174620139354916e-48,2.2765194791556867e-47,True,46.64272862927688
ENSG00000139910.20,-0.8283528159525226,2.7683477295212833e-105,4.101603769971087e-103,True,102.38704629638761
ENSG00000139946.10,-0.6547318115669747,2.570579911194676e-91,1.9840094440169512e-89,True,88.70245626490629
ENSG00000140285.12,-0.6874700705361996,4.4081520710502294e-70,1.5563590524895213e-68,True,67.80789020392315
ENSG00000140451.13,0.636385840871852,2.2028904775029424e-56,4.490757319862878e-55,True,54.34768041353941
ENSG00000140525.19,0.5456021939885678,2.657230484680727e-39,2.449671259043999e-38,True,37.610892193171175
ENSG00000140534.14,0.5780417899218475,7.928138201567739e-40,7.50482175224273e-39,True,38.124659618269035
ENSG00000140563.15,-0.5300057168771072,6.124085214504476e-22,2.515422525977408e-21,True,20.599389054231157
ENSG00000140876.11,-0.6279845476284265,2.3866747569276633e-96,2.371525803380697e-94,True,93.62497214564635
ENSG00000140945.17,-0.6088307091923228,2.6209538139901096e-62,6.640016425855249e-61,True,60.17783084628718
ENSG00000141294.10,0.5418887303055497,1.219266909661095e-31,8.07685233489669e-31,True,30.09275785703767
ENSG00000141338.14,-1.3881474943327774,7.233185957868955e-113,1.2247702835191576e-110,True,109.91194535942624
ENSG00000141404.17,-0.8560443192132872,1.0537251324629868e-104,1.5073719696630003e-102,True,101.82177956491262
ENSG00000141526.17,0.681048638108277,1.1397918107722669e-40,1.124477128891498e-39,True,38.949049373396186
ENSG00000141576.16,-0.610620418874299,1.7098252911374964e-32,1.1795648261233704e-31,True,30.928278186313765
ENSG00000141750.7,-1.0846386615638806,1.5950704644769513e-24,7.453843786970018e-24,True,23.127619713160904
ENSG00000141977.9,0.7290759657363144,2.4028601453349445e-42,2.5674862364255035e-41,True,40.590491875855506
ENSG00000142731.11,0.5174219069601216,6.433831904917175e-40,6.128760426532468e-39,True,38.212627354903155
ENSG00000142910.16,-0.5349303215142682,1.688203905593915e-130,5.093464656259169e-128,True,127.29298670308074
ENSG00000142945.13,0.9736303871682932,6.796826860764796e-49,9.714603352931183e-48,True,47.01257492693758
ENSG00000143196.5,-0.7859264962277113,1.5002381255720384e-62,3.859682396239133e-61,True,60.413448430881544
ENSG00000143228.13,1.1752768769321382,1.201975559589781e-60,2.8493689194046897e-59,True,58.5452513172438
ENSG00000143382.15,-0.6248140632221297,9.86844002912763e-58,2.1212032881262166e-56,True,55.673417708343045
ENSG00000143476.18,0.9555157728046819,6.194754020140846e-45,7.503339285417312e-44,True,43.12474541521143
ENSG00000143867.7,-1.0774530331741345,1.7902716616177713e-89,1.2805072393485043e-87,True,86.89261796190448
ENSG00000144366.16,-0.613525934464606,5.980834963874085e-59,1.3375468381472583e-57,True,56.87369100093834
ENSG00000144485.11,0.7882965482231277,1.5735645182043533e-49,2.318981315726735e-48,True,47.634702750503656
ENSG00000144642.22,-0.8007369047132344,6.422438006550891e-135,2.2202903391813642e-132,True,131.6535902307477
ENSG00000144648.16,-0.5021650550490684,4.952605724216341e-34,3.65747838841326e-33,True,32.43681823138736
ENSG00000144681.10,-0.7239580305292477,2.0255599040640374e-72,8.060465479145957e-71,True,70.09363987765057
ENSG00000144857.14,-0.6614847083399142,1.8439607647784585e-92,1.4999355358202813e-90,True,89.82392740563708
ENSG00000144891.18,-0.7477482187194875,1.0172418382778231e-75,4.53766426461887e-74,True,73.3431676400988
ENSG00000145244.12,0.5675507422979081,2.448456807749912e-28,1.3933364975240754e-27,True,26.855943986684565
ENSG00000145283.8,-0.7694955775976472,1.1023125466321753e-52,1.8838078680550277e-51,True,50.724963393527496
ENSG00000145358.6,-0.5583696759451757,2.0021385031355477e-42,2.1420687505500505e-41,True,40.66916659442603
ENSG00000145362.20,-0.7896307673512475,1.8678637491115227e-56,3.8265840805872354e-55,True,54.41718873958426
ENSG00000145386.11,0.8246005950797541,4.488625047260952e-47,5.906760034436815e-46,True,45.228650672249856
ENSG00000145934.16,-0.7855807635457763,5.340003962647871e-24,2.4377448626183982e-23,True,22.613011750134877
ENSG00000145936.9,-0.835360419259819,9.477665456841757e-35,7.211021576837786e-34,True,33.14200320494004
ENSG00000146038.12,-0.5888504946080366,1.0249913516094342e-12,2.577857909761587e-12,True,11.588741024417498
ENSG00000146122.17,-0.6018326043127797,5.805056809578619e-56,1.1508854563697444e-54,True,53.93896789804005
ENSG00000146197.9,0.5271039668662354,6.378663875244981e-34,4.681448400964848e-33,True,32.32961975905667
ENSG00000146233.8,-0.7707418319404766,2.1477930494960807e-73,8.843791033086344e-72,True,71.05336152776788
ENSG00000146281.6,-0.5141894247100962,1.7603361773252986e-44,2.0826258182212262e-43,True,42.68138875198186
ENSG00000146374.14,-0.977319567551129,9.250087875517212e-88,6.3428081903443225e-86,True,85.19771842168382
